params_1,params_2,params_3,params_4,train_params,train_time,test_time
5,5,5,2,100,3.7043137550354004,3.9990358352661133
5,10,10,2,200,3.4475319385528564,3.8465263843536377
5,15,15,2,300,5.6171605587005615,4.343994617462158
5,20,20,2,400,8.87318730354309,3.8772737979888916
5,25,25,2,500,10.923110246658325,4.567885160446167
5,30,30,2,600,15.067806959152222,3.8138551712036133
5,35,35,2,700,17.4759738445282,3.2889902591705322
5,40,40,2,800,21.93284821510315,3.454453706741333
5,45,45,2,900,29.464112043380737,3.5386528968811035
5,50,50,2,1000,36.68052530288696,3.530608892440796
5,55,55,2,1100,42.72382426261902,3.753131628036499
5,60,60,2,1200,46.70286464691162,3.7258450984954834
5,65,65,2,1300,56.58021283149719,3.8813729286193848
5,70,70,2,1400,61.87006998062134,3.975360870361328
5,75,75,2,1500,69.55533027648926,4.080767869949341
5,80,80,2,1600,76.71610903739929,4.167297840118408
5,85,85,2,1700,89.06545639038086,4.217570781707764
5,90,90,2,1800,98.86857318878174,4.4042932987213135
5,95,95,2,1900,108.23148131370544,3.457338571548462
5,100,100,2,2000,121.97943639755249,5.81185507774353
5,105,105,2,2100,128.8284876346588,5.393918991088867
5,110,110,2,2200,145.15350246429443,8.131765604019165
5,115,115,2,2300,152.42067170143127,8.371681213378906
5,120,120,2,2400,175.88349962234497,8.746769428253174
5,125,125,2,2500,190.51283049583435,7.43247652053833
5,130,130,2,2600,204.76618909835815,9.184905290603638
5,135,135,2,2700,217.51929354667664,7.885535955429077
5,140,140,2,2800,229.0351574420929,9.122903823852539
5,145,145,2,2900,242.90663027763367,9.692814111709595
5,150,150,2,3000,255.74629831314087,9.365903377532959
5,155,155,2,3100,280.9068377017975,8.548610925674438
5,160,160,2,3200,280.9038395881653,8.852016687393188
5,165,165,2,3300,306.27775979042053,8.672179460525513
5,170,170,2,3400,331.1697931289673,10.180019855499268
5,175,175,2,3500,343.415864944458,9.466662168502808
5,180,180,2,3600,368.68357491493225,10.43507432937622
5,185,185,2,3700,380.3007392883301,9.33202862739563
5,190,190,2,3800,395.33824491500854,9.242750406265259
5,195,195,2,3900,420.2511339187622,10.484765768051147
5,200,200,2,4000,443.9984622001648,9.420167922973633
